date,platform,campaign,spend,value,clicks,impressions,conversions
2026-07-21,Google,Search - Puzzles - Australia,21.04,0,18,245,0
2026-07-22,Google,Search - Puzzles - Australia,43.18,110.97,51,459,1
2026-07-23,Google,Search - Puzzles - Australia,31.09,126.97,65,561,2
2026-07-24,Google,Search - Puzzles - Australia,41.51,338.78,62,650,3
2026-07-25,Google,Search - Puzzles - Australia,40.88,0,73,861,0
2026-07-26,Google,Search - Puzzles - Australia,42.46,183.95,95,839,3
2026-07-27,Google,Search - Puzzles - Australia,35.04,0,72,843,0
2026-07-28,Google,Search - Puzzles - Australia,41.81,0,78,962,0
2026-07-29,Google,Search - Puzzles - Australia,78.71,215.48,129,1098,3
2026-07-29,Google,Shopping - Puzzles - Australia,6.55,53.99,19,1055,1
2026-07-15,Meta,Local 6km - Eastern Suburbs - Free Local Delivery,2.4,0,4,146,0
2026-07-16,Meta,Local 6km - Eastern Suburbs - Free Local Delivery,20.9,0,52,932,0
2026-07-17,Meta,Local 6km - Eastern Suburbs - Free Local Delivery,19.34,0,60,1096,0
2026-07-18,Meta,Local 6km - Eastern Suburbs - Free Local Delivery,18.71,0,81,1130,0
2026-07-19,Meta,Local 6km - Eastern Suburbs - Free Local Delivery,21.46,0,89,1281,0
2026-07-20,Meta,Local 6km - Eastern Suburbs - Free Local Delivery,17.03,0,49,811,0
2026-07-21,Meta,Local 6km - Eastern Suburbs - Free Local Delivery,19.25,0,46,965,0
2026-07-22,Meta,Local 6km - Eastern Suburbs - Free Local Delivery,19.46,0,69,960,0
2026-07-23,Meta,Local 6km - Eastern Suburbs - Free Local Delivery,20.33,0,37,907,0
2026-07-24,Meta,Local 6km - Eastern Suburbs - Free Local Delivery,9.78,0,19,389,0
2026-07-24,Meta,PP - Retargeting + Lookalike,13.56,0,46,621,0
2026-07-25,Meta,PP - Retargeting + Lookalike,14.99,0,58,847,0
2026-07-26,Meta,PP - Retargeting + Lookalike,26.58,54.94,126,1806,1
2026-07-27,Meta,PP - Retargeting + Lookalike,21.41,0,168,2168,0
2026-07-28,Meta,PP - Retargeting + Lookalike,19.49,118.83,161,1923,1
2026-07-29,Meta,PP - Retargeting + Lookalike,0,0,0,0,0
