Date,Session default channel group,Sessions,Ecommerce purchases,Purchase revenue
20260724,Cross-network,1,1,156.96
20260724,Direct,17,0,0
20260724,Email,18,0,0
20260724,Organic Search,42,1,56.19
20260724,Organic Shopping,2,0,0
20260724,Organic Social,6,0,0
20260724,Paid Search,52,2,181.82
20260724,Paid Social,10,0,0
20260724,Unassigned,1,0,0
20260725,Cross-network,1,0,0
20260725,Direct,16,0,0
20260725,Email,13,1,74.98
20260725,Organic Search,35,0,0
20260725,Organic Social,3,0,0
20260725,Paid Search,65,0,0
20260725,Paid Social,6,0,0
20260726,Cross-network,2,0,0
20260726,Direct,19,0,0
20260726,Email,12,1,74.98
20260726,Organic Search,42,1,189.88
20260726,Organic Shopping,4,0,0
20260726,Organic Social,6,0,0
20260726,Paid Search,84,3,183.95
20260726,Paid Social,6,1,39.99
20260726,Unassigned,6,0,0
20260727,Cross-network,1,0,0
20260727,Direct,44,0,0
20260727,Email,12,0,0
20260727,Organic Search,49,0,0
20260727,Organic Shopping,2,0,0
20260727,Organic Social,3,0,0
20260727,Paid Search,74,0,0
20260727,Paid Social,7,0,0
20260728,Direct,31,0,0
20260728,Email,333,8,711.39
20260728,Organic Search,36,3,295.46
20260728,Organic Shopping,2,0,0
20260728,Organic Social,3,0,0
20260728,Paid Search,74,0,0
20260728,Paid Social,7,0,0
20260728,Referral,2,0,0
20260728,Unassigned,1,0,0
20260729,Cross-network,52,1,29.66
20260729,Direct,9,0,0
20260729,Email,66,0,0
20260729,Organic Search,20,0,0
20260729,Organic Social,1,0,0
20260729,Paid Search,73,1,115.93
20260729,Paid Shopping,5,0,0
20260729,Paid Social,1,0,0
20260729,Referral,2,0,0
20260729,Unassigned,176,2,61.2
